srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Dataset
2829088,AN,3,560011,233,233,131,A,ADLD,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,9.879174963850168
2829866,AJ,2,110018,233,233,228,A,ADLD,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,11.24865001792416
2894489,AJ,3,560011,233,233,228,C,ADLD,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,12.253437651669577
2876708,AJ,2,110018,233,233,228,B,ADLD,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,13.863145138437597
2890283,AN,22,400104,233,233,131,C,ADLD,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,14.837198633199117
2897438,C,6,160059,233,233,131,B,ADLD,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,14.982122613763059
2849010,C,2,110018,233,233,228,A,ADLD,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,13.547411848581097
2887783,U,2,110018,233,233,228,A,ADLD,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,13.810860553257227
2941799,AN,21,110015,233,233,131,B,ADLD,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,12.815931831940516
2973976,AN,22,400104,233,233,131,A,ADLD,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,11.37950865600522
2977421,J,2,110018,233,233,131,A,ADLD,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,12.882655539471044
2982990,AN,26,560066,233,233,131,A,ADLD,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,11.067494262429896
2979785,AJ,2,110018,233,233,131,A,ADLD,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,12.001096388165795
2984029,H,1,400059,233,233,131,B,ADLD,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,16.55796836183402
3012909,AD,2,110018,233,233,131,A,ADLD,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,12.514519326545637
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,12.559184646325404
3048314,AN,7,500004,233,233,131,A,ADLD,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,8.064709552283402
3060524,C,2,110018,233,233,228,A,ADLD,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,11.27950309841363
3064259,AN,21,110015,233,233,131,B,ADLD,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,9.460070712216869
3057867,C,2,110018,308,233,228,A,ADLD,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,10.116603168804762
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,9.371837855729822
2920134,AJ,3,560011,233,245,131,A,ADLD,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,10.139936695511027
2866111,AN,21,110015,233,233,131,A,ADLD,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,10.868176990013893
2908430,AJ,3,560011,233,233,131,B,ADLD,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,12.41873813630329
2920849,AN,22,400104,233,233,131,B,ADLD,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,14.95912848080064
2884266,AF,5,380009,233,245,131,A,ADLD,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,13.046483177751798
2819466,AN,4,600024,233,233,131,B,ADLD,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,14.486393381848412
2858437,AN,17,800001,233,233,131,A,ADLD,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,11.748507522746637
3050523,C,2,110018,308,233,131,A,ADLD,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,10.645718908427567
2876140,AN,22,400104,233,245,131,B,ADLD,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,13.802459884552537
2824732,AI,7,500004,233,233,131,A,ADLD,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,11.4944894418048
2839241,AF,17,800001,233,233,131,C,ADLD,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,16.757865763587397
2868409,AN,22,400104,233,233,131,A,ADLD,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12.027271862560315
2907041,D,1,400059,233,233,131,A,ADLD,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,14.070894785415698
2844455,AN,7,500004,233,233,131,B,ADLD,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,13.856581786271876
2867312,C,1,400059,233,233,131,A,ADLD,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,13.228928894009375
2972765,AN,22,400104,0,233,131,D,ADLD,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,14.682226047253861
2983511,C,2,110018,233,233,131,A,ADLD,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,11.86821776915464
2857281,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,10.020852642521515
3051964,AJ,23,400001,233,233,131,A,ADLD,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,10.12943304255891
2981162,AN,21,110015,233,233,131,A,ADLD,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,10.441569883547471
3014945,AN,26,560066,201,233,131,D,ADLD,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13.146672262121408
2999197,AJ,27,110034,233,233,131,A,ADLD,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,12.38315195472214
2829017,AJ,7,500004,233,233,131,A,ADLD,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,9.85488032958358
2848996,AI,3,560011,233,233,131,A,ADLD,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,11.20793070197414
2870108,AN,22,400104,233,233,131,B,ADLD,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,13.991790838136346
2859591,AJ,2,110018,233,233,131,A,ADLD,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,12.003477735628302
2861847,AJ,3,560011,233,233,228,A,ADLD,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9.059536794976665
2880678,AJ,2,110018,233,233,228,A,ADLD,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,11.862668504035934
2872297,AN,22,400104,233,233,131,C,ADLD,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,14.566796876680657
2930663,AN,21,110015,233,233,131,C,ADLD,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,13.270296529018399
2936017,AJ,23,400001,233,233,131,A,ADLD,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,12.748422631778178
2940545,S,3,560011,233,233,228,A,ADLD,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,12.502377233589376
2887249,AE,9,411016,233,233,228,B,ADLD,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,16.962619665309795
2978501,AM,2,110018,308,233,228,A,ADLD,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,14.222917139307732
3013507,Y,5,380009,201,233,131,D,ADLD,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,19.307538197117044
3035976,AJ,6,160059,233,233,228,B,ADLD,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,10.821964836092834
3057218,AN,26,560066,233,233,131,B,ADLD,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,12.152036074722826
